"","x","y"
"1",0,0
"2",5.5,5.38413843748528
"3",5.38413843748528,5.63349720391605
"4",5.63349720391605,6.23265019241262
"5",6.23265019241262,5.9333894518779
"6",5.9333894518779,6.43873200063419
"7",6.43873200063419,7.08393550659268
"8",7.08393550659268,7.30639119770539
"9",7.30639119770539,7.47384462790079
"10",7.47384462790079,7.56750009954894
"11",7.56750009954894,7.49369682729906
"12",7.49369682729906,7.6114813852542
"13",7.6114813852542,7.47410985305863
"14",7.47410985305863,7.48792723491738
"15",7.48792723491738,7.81720798400267
"16",7.81720798400267,8.33442690486934
"17",8.33442690486934,8.00473240004931
"18",8.00473240004931,7.7993319230127
"19",7.7993319230127,7.58393789226019
"20",7.58393789226019,7.52153469764064
"21",7.52153469764064,8.81331853844151
"22",8.81331853844151,8.05302965667377
"23",8.05302965667377,7.81820251586818
"24",7.81820251586818,7.77130394886346
"25",7.77130394886346,8.11101700532457
"26",8.11101700532457,7.75039845686052
"27",7.75039845686052,7.36535500887976
"28",7.36535500887976,7.94415397492145
"29",7.94415397492145,7.58666139683521
"30",7.58666139683521,7.83848973507748
"31",7.83848973507748,7.58805396036932
"32",7.58805396036932,8.28964272603427
"33",8.28964272603427,7.85736696297526
"34",7.85736696297526,7.68073808953333
"35",7.68073808953333,7.69367293087691
"36",7.69367293087691,7.27707793828183
"37",7.27707793828183,7.22675867864241
"38",7.22675867864241,6.83868573815973
"39",6.83868573815973,6.83648550214447
"40",6.83648550214447,7.20181723741119
